,program,Identifier,.,var,;,:,Integer,Boolean,begin,end,:=,read,write,if,then,else,while,do,+,-,*,Int_Literal,true,false,>,<,=,>=,<=,$,START,Program,Body,Var_SCT,R1,Var_DCL,R2,Type,Block,R3,Stmt,Assgm_Stmt,Read_Stmt,Write_Stmt,If_Stmt,While_Stmt,Expr,Arithm_Expr,Term,Factor,Literal,Bool_Literal,Bool_Expr
0,s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,
2,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,s7,,,,,s8,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,6,,,,,,,,,,,,,,
4,,,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
6,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,
8,,s20,,,,,,,s8,,,s21,s22,s23,,,s24,,,,,,,,,,,,,,,,,,,,,,19,,13,14,15,16,17,18,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,
10,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,s26,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,
12,,s28,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,
13,,,,,s30,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,
14,,,r15,,r15,,,,,r15,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,r16,,r16,,,,,r16,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,r17,,r17,,,,,r17,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,r18,,r18,,,,,r18,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,r19,,r19,,,,,r19,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,r20,,r20,,,,,r20,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,s32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,s33,,,,,,,,,,,,,,,,,,,,s35,s37,s38,,,,,,,,,,,,,,,,,,,,,,,,,,,34,36,
23,,s44,,,,,,,,,,,,,,,,,,,,s45,s37,s38,,,,,,,,,,,,,,,,,,,,,,,,41,42,43,,40,39
24,,s44,,,,,,,,,,,,,,,,,,,,s45,s37,s38,,,,,,,,,,,,,,,,,,,,,,,,41,42,43,,40,46
25,,,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,
27,,,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,s28,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,
29,,,,,,,,,,s50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,s20,,,,,,,s8,,,s21,s22,s23,,,s24,,,,,,,,,,,,,,,,,,,,,,19,,51,14,15,16,17,18,,,,,,,
31,,s44,,,,,,,,,,,,,,,,,,,,s45,s37,s38,,,,,,,,,,,,,,,,,,,,,,,52,53,42,43,,40,54
32,,,r22,,r22,,,,,r22,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,r23,,r23,,,,,r23,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,r24,,r24,,,,,r24,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,r37,,r37,,,,,r37,,,,,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,r38,,r38,,,,,r38,,,,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,r39,,r39,,,,,r39,,,,,r39,r39,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,r40,,r40,,,,,r40,,,,,r40,r40,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,s55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,r41,,r41,,,,,r41,,,,,r41,r41,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,s61,s62,,,,,s56,s57,s58,s59,s60,,,,,,,,,,,,,,,,,,,,,,,,
42,,,r32,,r32,,,,,r32,,,,,r32,r32,,r32,r32,r32,s63,,,,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,
43,,,r34,,r34,,,,,r34,,,,,r34,r34,,r34,r34,r34,r34,,,,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,,,
44,,,r35,,r35,,,,,r35,,,,,r35,r35,,r35,r35,r35,r35,,,,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,
45,,,r36,,r36,,,,,r36,,,,,r36,r36,,r36,r36,r36,r36,,,,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,s26,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,
48,,,,,,,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,
49,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,r12,,r12,,,,,r12,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,s30,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,
52,,,r21,,r21,,,,,r21,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,r28,,r28,,,,,r28,,,,,,r28,,,s61,s62,,,,,s56,s57,s58,s59,s60,,,,,,,,,,,,,,,,,,,,,,,,
54,,,r29,,r29,,,,,r29,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,s20,,,,,,,s8,,,s21,s22,s23,,,s24,,,,,,,,,,,,,,,,,,,,,,19,,70,14,15,16,17,18,,,,,,,
56,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,71,42,43,,,
57,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,72,42,43,,,
58,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,73,42,43,,,
59,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,74,42,43,,,
60,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,75,42,43,,,
61,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,76,43,,,
62,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,77,43,,,
63,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,
64,,s20,,,,,,,s8,,,s21,s22,s23,,,s24,,,,,,,,,,,,,,,,,,,,,,19,,79,14,15,16,17,18,,,,,,,
65,,,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,r7,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,r10,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,r11,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,r25,,r25,,,,,r25,,,,,,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,r42,,r42,,,,,r42,,,,,r42,r42,,r42,s61,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,r43,,r43,,,,,r43,,,,,r43,r43,,r43,s61,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,r44,,r44,,,,,r44,,,,,r44,r44,,r44,s61,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,r45,,r45,,,,,r45,,,,,r45,r45,,r45,s61,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,r46,,r46,,,,,r46,,,,,r46,r46,,r46,s61,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,r30,,r30,,,,,r30,,,,,r30,r30,,r30,r30,r30,s63,,,,r30,r30,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,,,,
77,,,r31,,r31,,,,,r31,,,,,r31,r31,,r31,r31,r31,s63,,,,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,
78,,,r33,,r33,,,,,r33,,,,,r33,r33,,r33,r33,r33,r33,,,,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,
79,,,r27,,r27,,,,,r27,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,s20,,,,,,,s8,,,s21,s22,s23,,,s24,,,,,,,,,,,,,,,,,,,,,,19,,81,14,15,16,17,18,,,,,,,
81,,,r26,,r26,,,,,r26,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
